,Smartphone,Tablet,big_LCD,Camera,Game console,Desktop,Laptop,Server,Printer,Monitor,Motherboard,PCB,DRAM,Asus,Msi,Gigabyte,Asrock,Acer,Mediatek,Realtek,Novatek,Samsung,Hynix,Micron
2009/Q1,41400,400,88200,16927.06,9330,35017,31183,1720.06,26330,34000,32800,132.73,2026,40400,18129.099,11417,1821.806,95080,693.3774834,3700.107,3784.841,838,705,483
2009/Q2,43100,500,127900,24492.96,6130,30954,37676,1687.21,24240,48000,32080,198.74,2658,45675,18108.876,9269,2143.864,108440,855.1248224,4987.332,7385.938,1179,928,551
2009/Q3,43000,700,146500,30220.33,10730,36871,45159,1922.3,27170,48800,36120,253.06,4197,66692,23606.335,13467,2963.081,135670,1054.167733,6341.901,8478.397,2174,1318,705
2009/Q4,53900,500,150200,34223.28,25100,39736,50934,2235.19,34020,44600,33130,240.09,5678,79784,21981.36,10724,2711.218,146710,901.5174977,5271.205,7363.967,2750,1871,1057
2010/Q1,55400,1100,153100,24691.9,8890,42054,47756,2115.59,28720,49300,31572,201.31,6309,74807,22869.08,14094,2438.685,139850,1022.380977,6252.798,8632.557,3000,1998,1311
2010/Q2,64400,3300,166100,30627.72,8540,34068,49242,2159.15,29000,50600,30015,252.21,7221,70390,20263.636,9332,2019.781,131930,940.6423266,5980.509,9429.932,3527,2252,1442
2010/Q3,82800,4500,158800,31286.76,9730,39202,49748,2214.11,30840,46400,33020,258.14,7798,76993.72812,21255.917,12627,2571.735,137390,887.0264306,5325.769,9508.225,4363,2139,1296
2010/Q4,102000,10100,174100,34856.86,23450,41925,51525,2433.74,36530,52200,32660,282.58,6449,74233.2633,22127.691,12776,2500.322,112900,753.9978944,4723.821,8744.842,3520,1893,1036
2011/Q1,101600,7900,159200,24784.45,7360,39752,47538,2311.7,30870,49100,33850,233.73,6250,58329.845,20794.46,12392,2618.538,102160,675.9398923,5393.888,8385.777,3260,1910,1080
2011/Q2,108300,15040,177800,27482.73,6130,36122,51448,2333.85,28950,51300,33020,267.45,6087,77262.802,19128.773,10422,2792.951,96070,730.7258674,6334.38,9339.725,3348,1886,853
2011/Q3,123700,18600,176800,34675.94,8980,40967,54483,2373.6,31360,47200,39460,291.25,5332,96347.44772,18456.478,11534,2845.385,102270,794.2015855,5014.854,8973.535,3051,1460,821
2011/Q4,160800,29900,176400,28581.13,21200,43904,51106,2505.9,34980,48000,36100,284.56,5129,85725.91345,16236.649,8317,2661.724,105210,749.8839907,5153.152,8371.186,2805,1538,786
2012/Q1,152700,20300,163250,24926.66,4780,40570,48520,2346.1,28500,46960,36200,307.06,4793,79210.35943,15153.092,9378,2293.237,113038,664.8927155,5332.474,7517.225,2533,1501,759
2012/Q2,156200,28300,185560,26989.6,4810,34959,50371,2366.47,26530,46270,36980,296.45,5364,94261.12467,16140.107,9494,2453.945,110599,792.2933919,6603.443,8574.27,2776,1713,875
2012/Q3,179700,34800,193570,24008.64,5810,40087,47713,2481.55,27400,45660,39100,329.92,4921,95975.66426,18097.442,12831,2821.88,104449.723,992.2450171,6500.198,10237.373,2627,1498,796
2012/Q4,227800,60000,190320,22214.25,17970,39974,48756,2532.48,31050,44720,36400,373.45,5327,105671.7247,16305.353,10438,2585.643,101540.246,918.7811444,6177.421,10699.802,2886,1721,720
2013/Q1,222600,48600,160620,14103.99,5540,36165,41735,2329.11,25810,39620,34796,264.03,5388,114039.7789,16172.568,12401,2975.476,91804,808.2576643,6743.689,9338.2,2600,1800,988
2013/Q2,253300,44400,171000,15638.85,2470,32746,42954,2460.21,26060,43750,33620,238.1,6450,99732.99083,16481.561,11540,2280.144,89509,1117.319186,6956.161,10927.619,2794,2558,1098
2013/Q3,276600,48300,171910,16826.89,3760,35752,44058,2506.22,28120,43920,36790,295.16,8536,118809.7072,18501.757,14104,2654.704,92178,1308.363986,7176.916,10573.578,3448,2653,2435
2013/Q4,292700,78600,173050,16269.93,17360,36868,46052,2591.81,31680,42160,39000,331.19,8921,130720.3558,20718.342,13074,2509.094,86699.534,1344.103211,7303.244,10610.257,3810,2317,2794
2014/Q1,288400,50000,163190,9219.49,6550,36220,39470,2361.71,26350,38460,36200,246.3,9113,110335.5995,20596.412,15294,2652.454,76724.22398,1515.499237,7325.508,10593.171,3528,2800,2785
2014/Q2,302100,48000,177290,10681.7,5200,33282,42278,2605.84,25490,41910,36800,306.6,9940,105193.955,20901.923,12468,1997.517,81336.57847,1804.333093,8075.002,13083.176,4237,2974,2729
2014/Q3,332600,55700,178000,11424.54,7190,35190,44650,2530.88,27540,40120,38000,353.73,11066,123927.3903,21693.989,13726,2322.445,85686.36459,1908.31212,8300.44,15281.654,5019,3191,2856
2014/Q4,377800,76400,180310,12108.68,16220,35910,46680,2706.08,30790,40840,34700,399.47,12082,137770.9693,21708.974,13055,1975.861,86088.143,1788.114278,7562.348,15108.981,5369,3603,3110
2015/Q1,334400,46400,167310,7387.56,8240,33343,37587,2669.34,25800,37250,31700,308.88,11154,111891.4193,20237.551,12906,1837.975,67947.546,1510.757985,7446.052,12697.879,5176,3281,2697
2015/Q2,336200,44100,163990,9491.42,4910,29532,38318,2703.36,24060,35040,31160,306.23,10691,108402.7757,18427.768,11696,1503.628,60205.753,1529.156825,7148.073,12456.26,5160,3172,2359
2015/Q3,359200,50500,166970,9516.13,7430,32377,40723,2762.68,25760,35530,36186,299.95,10609,119305.8019,22543.325,14003,1871.747,67323.725,1759.4259,7911.458,13084.076,5277,3159,2173
